"","year","uni","set","theme","item","question","pos","rate"
"189","2017","newcastle","rg","voice","acted_upon","It is clear how students’ feedback on the course has been acted on",59.8,0.207070707070707
"190","2017","newcastle","rg","community","theme_sum","Learning community",81.7,0.929292929292929
"191","2017","newcastle","rg","learnopp","theme_sum","Learning opportunities",81,1.42929292929293
"192","2017","newcastle","rg","resource","theme_sum","Learning resources",92.6,1.84343434343434
"193","2017","newcastle","rg","assessment","fair","Marking and assessment has been fair",69,0.287878787878788
"194","2017","newcastle","rg","teaching","challenge","My course has challenged me to achieve my best work",81.2,0.494949494949495
"195","2017","newcastle","rg","learnopp","apply","My course has provided me with opportunities to apply what I have learnt",71.4,0.383838383838384
"196","2017","newcastle","rg","learnopp","diff_topics","My course has provided me with opportunities to bring information and ideas together from different topics",90.4,0.55050505050505
"197","2017","newcastle","rg","learnopp","depth","My course has provided me with opportunities to explore ideas or concepts in depth",81.6,0.5
"198","2017","newcastle","rg","management","theme_sum","Organisation and management",87.1,1.55050505050505
"199","2017","newcastle","rg","overall","satisfied","Overall satisfaction",93.3,0.545454545454545
"200","2017","newcastle","rg","teaching","explain","Staff are good at explaining things",92.8,0.46969696969697
"201","2017","newcastle","rg","teaching","interest","Staff have made the subject interesting",84,0.424242424242424
"202","2017","newcastle","rg","voice","valued","Staff value students’ views and opinions about the course",84.2,0.474747474747475
"203","2017","newcastle","rg","voice","theme_sum","Student Voice",76.7,1.26767676767677
"204","2017","newcastle","rg","teaching","stimulating","The course is intellectually stimulating",88.6,0.590909090909091
"205","2017","newcastle","rg","management","organised","The course is well organised and running smoothly",86,0.48989898989899
"206","2017","newcastle","rg","assessment","clear","The criteria used in marking have been clear in advance",66.2,0.287878787878788
"207","2017","newcastle","rg","resource","IT","The IT resources and facilities provided have supported my learning well",96,0.631313131313131
"208","2017","newcastle","rg","resource","library","The library resources (e.g. books, online services and learning spaces) have supported my learning well",91.6,0.611111111111111
"209","2017","newcastle","rg","teaching","theme_sum","The teaching on my course",86.7,1.96969696969697
"210","2017","newcastle","rg","management","timetable","The timetable works efficiently for me",90,0.590909090909091
"211","2017","belfast","rg","acad_support","theme_sum","Academic support",73.8,1.32022471910112
"212","2017","belfast","rg","management","comms","Any changes in the course or teaching have been communicated effectively",83.2,0.539325842696629
"213","2017","belfast","rg","assess_feed","theme_sum","Assessment and feedback",81.5,2.08988764044944
"214","2017","belfast","rg","assessment","timely","Feedback on my work has been timely",83.2,0.589887640449438
"215","2017","belfast","rg","academic","choices","Good advice was available when I needed to make study choices on my course",69,0.393258426966292
"216","2017","belfast","rg","community","staffstudent","I feel part of a community of staff and students",49.4,0.202247191011236
"217","2017","belfast","rg","resource","access","I have been able to access course-specific resources (e.g. equipment, facilities, software, collections) when I needed to",95.4,0.752808988764045
"218","2017","belfast","rg","academic","contact","I have been able to contact staff when I needed to",79.8,0.544943820224719
"219","2017","belfast","rg","voice","opportunity","I have had the right opportunities to provide feedback on my course",83.9,0.657303370786517
"220","2017","belfast","rg","community","studentwork","I have had the right opportunities to work with other students as part of my course",87.6,0.657303370786517
"221","2017","belfast","rg","academic","support","I have received helpful comments on my work",79.8,0.48314606741573
"222","2017","belfast","rg","assessment","helpful","I have received helpful comments on my work",63.2,0.404494382022472
"223","2017","belfast","rg","academic","choices","I have received sufficient advice and guidance in relation to my course",72.7,0.382022471910112
"224","2017","belfast","rg","voice","acted_upon","It is clear how students’ feedback on the course has been acted on",59.1,0.297752808988764
"225","2017","belfast","rg","community","theme_sum","Learning community",68.5,0.859550561797753
"226","2017","belfast","rg","learnopp","theme_sum","Learning opportunities",80.9,1.69101123595506
"227","2017","belfast","rg","resource","theme_sum","Learning resources",91.6,2.19662921348315
"228","2017","belfast","rg","assessment","fair","Marking and assessment has been fair",82,0.49438202247191
